   Hour             Class                            MONDAY                                                      TUESDAY                                                     WEDNESDAY                                                   THURSDAY                                                    
11:00 - 12:00         B3                  PE (Mouse Paraskevi)                                        Literature (Makridimitri Despoina)                          Computers (Mouse Paraskevi)                                 Modern Greek (Makridimitri Despoina)                        
12:00 - 13:00         B3                  Chemistry (Korliaftis Christos)                             Ancient Greek (Botsika Irini)                               History (Nazarian Araksi)                                   Music (Christofilopoulou Stavroula)                         
13:00 - 14:00         B3                  Geography (Nazarian Araksi)                                 History (Lekka Nektaria)                                    Religious Studies (Logotheti Maria)                         History (Christofilopoulou Stavroula)                       
14:00 - 15:00         B3                  Arts and Crafts (Christofilopoulou Stavroula)               Physics (Palmos Nektarios)                                  History (Palmos Nektarios)                                  Project (Nazarian Araksi)                                   

8:00 - 9:00           C1                  PE (Christofilopoulou Stavroula)                            Maths (Botsika Irini)                                       Music (Mouse Paraskevi)                                     Physics (Oikonomou Charalampia)                             
9:00 - 10:00          C1                  Arts and Crafts (Christofilopoulou Stavroula)               PE (Vamvakaris Michalis)                                    History (Mpravou Christina)                                 Literature (Mita Irini)                                     
10:00 - 11:00         C1                  Religious Studies (Christofilopoulou Stavroula)             English (Makridimitri Despoina)                             Literature (Korliaftis Christos)                            Ancient Greek (Mpravou Christina)                           
11:00 - 12:00         C1                  Physics (Botsika Irini)                                     PE (Mpravou Christina)                                      Music (Christofilopoulou Stavroula)                         Religious Studies (Chavales Nikolaos)                       
12:00 - 13:00         C1                  History (Botsika Irini)                                     French (Lekka Nektaria)                                     -------                                                     Chemistry (Mita Irini)                                      
13:00 - 14:00         C1                  Literature (Vamvakaris Michalis)                            PE (Christofilopoulou Stavroula)                            Arts and Crafts (Mpravou Christina)                         Arts and Crafts (Mpravou Christina)                         
14:00 - 15:00         C1                  Project (Nazarian Araksi)                                   Geography (Korliaftis Christos)                             Literature (Oikonomou Charalampia)                          History (Mpravou Christina)                                 

8:00 - 9:00           C2                  French (Nazarian Araksi)                                    French (Chavales Nikolaos)                                  Ancient Greek (Mpravou Christina)                           Maths (Oikonomou Charalampia)                               
9:00 - 10:00          C2                  Arts and Crafts (Nazarian Araksi)                           Ancient Greek (Korliaftis Christos)                         English (Logotheti Maria)                                   Computers (Mpravou Christina)                               
10:00 - 11:00         C2                  Literature (Mpravou Christina)                              Project (Korliaftis Christos)                               Computers (Botsika Irini)                                   English (Christofilopoulou Stavroula)                       
11:00 - 12:00         C2                  Music (Lekka Nektaria)                                      Maths (Lekka Nektaria)                                      Project (Oikonomou Charalampia)                             Religious Studies (Korliaftis Christos)                     
12:00 - 13:00         C2                  Modern Greek (Nazarian Araksi)                              Ancient Greek (Maridaki Vasiliki)                           Modern Greek (Mpravou Christina)                            Physics (Maridaki Vasiliki)                                 
13:00 - 14:00         C2                  Music (Mpravou Christina)                                   Computers (Lekka Nektaria)                                  Arts and Crafts (Botsika Irini)                             History (Korliaftis Christos)                               
14:00 - 15:00         C2                  Chemistry (Makridimitri Despoina)                           Ancient Greek (Logotheti Maria)                             Ancient Greek (Oikonomou Charalampia)                       History (Mita Irini)                                        

8:00 - 9:00           C3                  Computers (Botsika Irini)                                   Project (Makridimitri Despoina)                             Maths (Korliaftis Christos)                                 Chemistry (Lekka Nektaria)                                  
9:00 - 10:00          C3                  Arts and Crafts (Mita Irini)                                Music (Chavales Nikolaos)                                   Modern Greek (Vamvakaris Michalis)                          Ancient Greek (Christofilopoulou Stavroula)                 
10:00 - 11:00         C3                  Modern Greek (Mita Irini)                                   Arts and Crafts (Mpravou Christina)                         Music (Christofilopoulou Stavroula)                         PE (Makridimitri Despoina)                                  
11:00 - 12:00         C3                  History (Botsika Irini)                                     Project (Mouse Paraskevi)                                   Religious Studies (Christofilopoulou Stavroula)             Literature (Palmos Nektarios)                               
12:00 - 13:00         C3                  Literature (Nazarian Araksi)                                French (Makridimitri Despoina)                              History (Makridimitri Despoina)                             Ancient Greek (Chavales Nikolaos)                           
13:00 - 14:00         C3                  Religious Studies (Christofilopoulou Stavroula)             Chemistry (Christofilopoulou Stavroula)                     Physics (Nazarian Araksi)                                   Music (Palmos Nektarios)                                    
14:00 - 15:00         C3                  Literature (Mpravou Christina)                              History (Makridimitri Despoina)                             French (Vamvakaris Michalis)                                Computers (Chavales Nikolaos)                               

